id	original_title	french_title	romanized_title	language	release_year	runtime	genres	avg_rating	vote_count	directors	writers	budget	revenue	production_companies	production_countries	poster_path	trailer_url	kw_tmdb	kw_imdb	plot
tt0068442	大海盜	Le pirate	Da hai dao	Chinese Simplified	1973	92	Action, Drama	6.0	207	Cheh Chang, Hsueh-Li Pao, Wu Ma	Kuang Ni	0	0	Shaw Brothers	Hong Kong	/kSDz5mgQi0K63Gm7wau5V8hCsEn.jpg		martial arts	pirate, robin hood, martial arts, kung fu, fight	"Toward the end of the Ching Dynasty, the South China Sea was swarming with pirates looking to plunder treasure-rich Portuguese merchant ships. A titanic tale of a daring and heroic ""Robin Hood"" of the seas."
tt0068482	風雷魔鏡	The Devil's Mirror	Feng lei mo jing	Chinese Simplified	1972	90	Action, Fantasy	6.4	115	Chung Sun	Yang Chiang	0	0	Shaw Brothers	Hong Kong	/mhtXFCrgA7hFh092E7gltXt0JTK.jpg		martial arts	female nudity, kiss, foreplay, wuxia, traitor	The Jiuxian Witch and her Bloody Ghouls Clan are planning domination of the Martial Arts world. Standing in their way are two clans who posses a magic mirror each.
tt0068605	四騎士	Les quatre as de Corée	Si qi shi	Chinese Simplified	1972	104	Action, Drama	6.1	221	Cheh Chang	Cheh Chang, Kuang Ni	0	0	Shaw Brothers	Hong Kong	/8ftidnrJHOVGMS7WtGMKYMhRx1V.jpg		martial arts, drug smuggling, korean war	drinking, smoking, corruption, kung fu, gym	This prime example of director/co-writer Chang Cheh's mastery takes place right after the Korean War, as a kung-fu master, combat instructor, explosives expert, and missle specialist heroically represent the Book of Revelation's four riders against murder, corruption, jealous and greed.
tt0068629	現代やくざ 人斬り与太	Okita le pourfendeur	Gendai yakuza: Hito-kiri yota	Japanese	1972	92	Action, Crime	7.1	1230	Kinji Fukasaku	Kinji Fukasaku	0	0	Toei Company	Japan	/vEMbFkcg3NRwOAttDLGKLy2ZfOZ.jpg		prison, rape, yakuza, murder, gang, street life	male rear nudity, blood splatter, murder of a nude man, woman with a knife, voice over narration	A yakuza, who has an untamed rage and lack of respect for authority, finds himself leading the remnants of the gang he once belonged to in order to secure an area of their own.
tt0068650	御用牙	Hanzo the Razor - Sword of justice	Goyôkiba	Japanese	1972	94	Action	6.6	1881	Kenji Misumi	Kazuo Koike	0	0	Katsu Production, TOHO	Japan	/5D8HTMkSJE3ul87D6pAeyXPqqxA.jpg		japan, samurai, investigation, torture, shogun, feudal japan	exploitation film, sexploitation, based on comic, samurai, rape	Hanzo Itami is an incorruptible Edo officer who learns that an infamous killer has fled from his island prison. Hanzo begins tracking him down using his unorthodox interrogation techniques.
tt0068676	合氣道	Dynamique Dragon contre Boxers chinois	He qi dao	Chinese Simplified	1972	97	Action, Drama	6.8	1006	Feng Huang	Yan Ho	0	0	Orange Sky Golden Harvest	Hong Kong, South Korea	/uT1OV1HZShs1j01D7RY342F0ivX.jpg	https://imdb-video.media-imdb.com/vi2854268185/1434659607842-pgv4ql-1564612251604.mp4?Expires=1714336774&Signature=OhlcdLkZXRb~Xvggq4ufOJ012ALa4eKUAgNL1-OBCho1fvu3yHtJDTxQLy4c4BEp5AVomyx2c5zdJ1sPpxKB-p4WQnJ~~LF1kWHCvEHV~EJiq3z2ay7aTpMUAbyrFj9~ErI0donDo563BI2V1~Svxj0xCyx6XIAckgsK3VKkx4uhpSIuH50O7GIOujsb9b80Gsr2y0fH4IL4TogWRAKFj7-C7kDHgRITcApvYD8QQ-2vZSEmpphUOglCXobWJ5tH7TLyJK6~zuHfg2VbtwbPBVshTV0hwlSydkaBGhEanhxFq6SdpVFHYrtrF7LoQkZSYhcp6kecksZOI3aLzc6OwQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA	martial arts, kung fu, murder, hong kong, female martial artist	martial arts action, school, martial arts school, fight, japanese	Three graduated Hapkido students return to China from Japanese-occupied Korea in order to set up their own school. However, problems start to arise when a local Japanese martial arts school tries to run the new school out of town.
tt0068697	緋牡丹博徒　仁義通します	Lady Yakuza: le code yakuza	Hibotan bakuto: Jingi tooshimasu	Japanese	1972	96	Crime	6.8	74	Buichi Saitô	Kôji Takada	0	0	Toei Company	Japan	/wZAHdxljMaF0HFAQrzz1rUBp4fm.jpg			sequel, eighth part, yakuza	"Oryu the ""Red Peony"" visits an old dying Boss of an ally family and promises to help guide the new Boss. Meanwhile a turf war breaks out. When the family is betrayed from within and the rival family becomes violent, Oryu takes things into her own hands."
tt0068722	仙女下凡	Xian nü xia fan	Xian nü xia fan	Chinese Simplified	1972	99	Comedy, Fantasy, Romance	5.8	69	Meng-Hua Ho	Meng-Hua Ho	0	0	Shaw Brothers	Hong Kong	/ft23tO4HqCVC8CCldBe0Ze7tr4f.jpg		romantic comedy, hong kong, fantasy	female nudity, angel, superpower, orphanage, slapstick	An often hilarious and very timely look at the state of Hong Kong in the early 70's, an era of troubled romance, painful poverty and greedy land tycoons - all of whom have to answer to an angel who has been sent from heaven to look after the residents of the former British colony.
tt0068744	愛奴	Ai Nu, esclave de l'amour	Ai nu	Chinese Simplified	1972	97	Action, Drama	7.1	970	Yuen Chor	Kang-Chien Chiu	0	0	Shaw Brothers	Hong Kong	/d8BxiNBxPL1nFMunRaXI2MAYPCB.jpg		epic, martial arts, kung fu, revenge, murder, torture, slave, whipping, wuxia	lesbian, blood, wuxia, rape and revenge, prostitute	The Four Seasons Brothel is run by a ruthless madam, Lady Chun Yi. Countless young girls have been kidnapped or bought and then sold into a life of servitude, prostitution, and torture at this brothel. Ai Nu, an honest, but poor family's only daughter, is one of the newest girls that was recently kidnapped and sold to Lady Chun. To complicate matters even more, Lady Chun is a lesbian and quickly falls in love with the virginal Ai Nu, who will not let her spirit be broken and tries to escape again and again. This causes Lady Chun to use all of her resources to break her, including auctioning off Ai Nu's virginity to a group of wealthy businessmen. She eventually entrusts Ai Nu with a number of ancient kung-fu secrets like the Ghost Hands, which allows you to thrust your fists into an opponent's chest. Soon after murder erupts within the brothel. A diligent detective, Chi Te, visits the brothel and becomes increasingly involved in the murder investigation. He realizes he must do everything he can to prevent Ai Nu from taking her much deserved revenge on everyone that has wronged her over the years.
tt0068766	Jin Xuan Feng	Hurricane	Jin xuan feng	Chinese Traditional	1972	0	Action, Adventure	6.5	27	Wei Lo	Wei Lo	0	0	Orange Sky Golden Harvest	Hong Kong	/8uDaI4Y46cKyPgANsE2Y4OLPcLI.jpg		martial arts	minister	An unsuspecting swordsman is used by a power-hungry chief minister to betray China's emperor.
