id	french_title	tags
tt0033669	Les Larmes de San Francisco	drama in san francisco, widow jien-sien ho, known to the chines commun as gin man, worri that hi 16-year-old daughter chain-i spend too much time at the chines opera. nevertheless, duck sook, a salesman in jien-sien' shop, take chain-i to see fay-tien wong, an actor from china, perform. after the show, wong invit chain-i to the golden gate music club for a parti and the girl ask him for sing lessons. chain-i and wong begin to spend time togeth and chain-ying' friend, sia-lien ho, tell jien-sien about hi daughter' excurs with the actor and the fact that she ha been miss school. jien-sien confront chain-ying, who insist that in america, father have no right over their daughters. when chain-i say she love wong, jien-sien disown her and then blame duck sook for hi daughter' infidelity. wong tell chain-i that she must tri to understand the old people' way and then agre to marri her, hope that her father will now accept them. when duck sook tri to interven on the couple' behalf, however, jien-sien say that he will never forgiv them. the enrag father then goe to the theater owner and tell him to deport wong, and the owner agre not to renew the singer' contract, which is soon to expire. sever month later, wong return home one night and announc that he must return to china. worri about hi bride, who is now pregnant, he tell her that he will send for her when he ha settled. meanwhile, duck sook ask jien-sien to forgiv hi pregnant, lone daughter, but he refuses. mao lee, jien-sien' cook, take piti on chain-ying, give her money and attend the birth of the babi girl. for hi disloyalty, jien-sien fire mao-lee, who join duck sook in take over a chines laundri so that they can support chain-ying' babi after chain-ying' sudden death. duck sook and mao lee give the babi a chines name, loy lo, and an american name, lulu, and when the girl grow up, duck sook teach her chines danc and instil in her a love of the theater. when a benefit concert and parti is organ for chines war refugees, lulu wish to perform, and duck sook and lulu both audit and receiv parts. lulu ha a support role in an opera with a visit star, sing kuo, but when duck sook must find the tradit dress that is requir for her performance, he discov that all the store are sold out of it. duck sook steal a gown, and later encount the woman from whom he stole it. she is understanding, however, and agre to lend the garment to lulu. dure the show, it is reveal that sing kuo is realli wong, lulu' father, and duck sook introduc the singer to hi daughter and then to her grandfather, who ha donat three-thousand dollar to the cause. jien-sien greet lulu warmli and all shake hand and return to jien-sien' shop to celebr their reunion. womandirector china sanfranciscocalifornia esthereng
tt0033716	Hideko, receveuse d'autobus	comedi drama okoma, a young ladi work as a conductor with a bu compani in kofu yamanashi, ha an idea for her bu that could avert the dwindl number of passengers. japan ruralarea tourbu young busconductor bu basedonnovel mikionarus
tt0034176	La lune de Shanghai	drama mikionarus
tt0034298	Les frères et les soeurs Toda	drama when the patriarch of the toda famili suddenli dies, hi widow discov that he ha left her with noth but debt and marri children who are unwil to support her--except for her most thought son, just return from china. siblingrelationship postwarjapan yoshikawa children familyrelationship marri yasujirôozu
tt0034591	Il était un père	drama a schoolteach struggl to rais hi son ryohei by himself, have neither money nor futur prospects. mathteach singlefath schoolteach textilework fathersonrelationship boy teacherstudentrelationship cri train money yasujirôozu
tt0034824	Ma mère ne mourra jamais	drama the prematur death of a young mother serv as inspir for her husband and son. mother husband death young basedonnovel mikionarus
tt0035533	Les Volontaires de la Mort	drama histori war when a boy who is in the navi colleg return home for vacat he meet hi young cousin who also want to join in order to becom a pilot. however, the younger man' mother is antagonist know the folli of war. when the younger man recruit hi cousin to speak to the mother the enlist man is success and the mother relents. the younger cousin is soon in the navi and train to becom a pilot. he graduat too, but one night lose hi friend yet ha no time to reflect on the event as japan draw nearer to war with the west. the pilot and hi fellow pilot are told to embark on a mission, but initi not told their purpos or destination. onli later it is reveal that the destin is hawaii, usa. pearl habour looms. fighterpilot pearlharbor pacificwar militarytrain worldwartwo 1940 year1941 attackonpearlharbor japaneseempir kajirôyamamoto
tt0036177	L'homme au pousse-pousse	drama matsugoro is a poor rickshaw driver whose anim spirit and optimist demeanor make him a favorit of the town. matsu help an injur boy, toshio, and is hire by the boy' parents. poverti partiallylostfilm samuraiera hiroshiinagaki
tt0036400	La légende de judo	action adventur drama sugata, a young man, struggl to learn the nuanc and mean of judo, and in do so come to learn someth of the mean of life. jujitsu partiallylostfilm judo teacherstudentrelationship tournament prayer martialart akirakurosawa
tt0036484	La chanson de la lanterne	drama a self-absorb young actor humili an elderli noh performer, who then commit suicide. hi act of cruelti compel hi father to disown him, lead the onc promis actor to a life on the streets. but hi desir to win back the respect of hi father and the affect of the dead actor' daughter push him toward a more nobl existence. basedonnovel mikionarus
tt0036947	Le plus beau	drama world war ii film about femal volunt worker at an optic plant who do their best to meet product targets. factori worldwarii workingwomen optic musicalinstru shoe factorywork weaponmak worldwartwo akirakurosawa
tt0036980	Les Faucons du Colonel Kato	action war biograph movi about colonel kato, an offic serv with the imperi japanes armi air forc in southeast asia, he wa highli respect by hi pilot for hi fair and excel fli ability. propaganda airplan worldwartwo japan kajirôyamamoto
tt0037081	L'histoire de Musashi Miyamoto	drama shinobu and her brother genichiro plead with the famou swordsman musashi miyamoto to teach them swordsmanship to aveng their father' death. the killer of their father see the sister and brother practic with miyamoto, and so enlist the help of anoth power swordsman, kojiro sasaki, which give sasaki an excus to battl miyamoto. jidaigeki miyamotomusashi kenjimizoguchi
tt0037272	Le chemin du drame	drama japan basedonnovelorbook basedonnovel mikionarus
tt0037347	Cette belle vie	comedi mikionarus
